,dt,dt_period,open,close,high,low,vol,turnover,m1,m2,macd_buy_signal,macd_sell_signal,jw,jw_buy_signal,jw_sell_signal,R6,duanxian,duanxian_buy_signal,duanxian_sell_signal,xcci,dcci,long_start,long_end,short_start,short_end,long_buy,long_sell,short_buy,short_sell,profit_rate
292,2022-09-07 09:31:00-04:00,20220907093100,24.944,26.374,26.654,24.544,165784784,4583977472.0,-2.336,-1.047,False,False,45.03638022944904,False,False,9.750140276110784,-5.700374412193554,False,True,-75.8270538948376,-51.64684868374824,False,False,False,False,0,0,0,0,0.0
293,2022-09-08 09:31:00-04:00,20220908093100,25.794,26.824,27.163,25.431,205399904,5756875264.0,-2.333,-1.036,False,False,40.94964061833862,False,False,5.975422097426161,-3.7747181786846227,False,True,-70.88235968212133,-42.65010319543928,False,False,False,False,0,0,0,0,0.0
294,2022-09-09 09:31:00-04:00,20220909093100,27.444,28.604,28.774,27.374,149367904,4447276544.0,-2.305,-0.922,False,False,39.470568365704565,False,False,5.138808412428389,-0.8366136849977721,False,True,-57.61205483634015,-13.437750829797816,False,False,False,False,0,0,0,0,0.0
295,2022-09-12 09:31:00-04:00,20220912093100,29.064,29.694,29.924,28.784,136570560,4226542336.0,-2.262,-0.764,False,False,39.4919994114822,False,False,6.583200452534555,1.444392040106166,True,False,-48.24801428357955,6.634697041076223,False,False,False,False,0,0,0,0,0.0
296,2022-09-13 09:31:00-04:00,20220913093100,27.004,24.604,30.544,24.326,195648320,5352012800.0,-2.288,-0.896,False,False,33.441379938414045,False,False,3.644326326529722,-2.9388741260048334,False,True,-69.15105355325173,-48.033949458201185,False,False,False,False,0,0,0,0,0.0
297,2022-09-14 09:31:00-04:00,20220914093100,24.889,25.184,25.514,24.344,154645920,4078579968.0,-2.304,-0.956,False,False,28.78429281203549,False,False,0.02295013105204191,-3.62137619547768,False,True,-79.2931481405781,-74.13773983367618,False,False,False,False,0,0,0,0,0.0
298,2022-09-15 09:31:00-04:00,20220915093100,24.644,23.854,25.424,23.154,196865248,4893076480.0,-2.334,-1.06,False,False,22.879136577972332,False,False,-3.961542735112431,-3.984492866164473,False,True,-84.98656045768398,-89.59669571992644,False,False,True,False,0,0,1,0,0.1601408568793494
299,2022-09-16 09:31:00-04:00,20220916093100,22.974,23.364,23.674,22.436,196071744,4811532800.0,-2.367,-1.153,False,False,17.034234461374155,False,False,-7.5733413686124464,-3.6117986335000154,False,True,-91.50951933362293,-107.21846055142407,False,False,False,False,0,0,0,0,0.0
300,2022-09-19 09:31:00-04:00,20220919093100,22.704,23.954,24.274,22.534,151346288,3778383872.0,-2.389,-1.18,False,False,12.611047025493207,False,False,-10.212919385515804,-2.639578016903357,False,True,-87.41734233738619,-100.15630466652007,False,False,False,False,0,0,0,0,0.0
301,2022-09-20 09:31:00-04:00,20220920093100,23.294,23.354,23.949,22.744,161059328,3959440896.0,-2.416,-1.217,False,False,8.014871753934841,False,False,-12.799752073502347,-2.5868326879865435,False,True,-88.29380985589864,-104.95978564415852,False,False,False,False,0,0,0,0,0.0
